Metric,PERSON,ORG,NE,Overall
fn,857.0,1130.0,4219.0,6206.0
fp,1914.0,2569.0,2854.0,7337.0
tp,309.0,185.0,2123.0,2617.0
Precision,0.13900134952766532,0.06717501815541031,0.42656218605585694,0.2629093831625477
Recall,0.26500857632933106,0.14068441064638784,0.3347524440239672,0.2966111300011334
F1Score,0.1823546768958395,0.09093143278446794,0.37512147716229355,0.2787452734728657
