Metric,PERSON,ORG,NE,Overall
fn,459.0,1471.0,4851.0,6781.0
fp,1912.0,739.0,1986.0,4637.0
tp,1089.0,552.0,2306.0,3947.0
Precision,0.3628790403198934,0.4275755228505035,0.5372786579683131,0.4598089468779124
Recall,0.7034883720930233,0.2728620860108749,0.3222020399608775,0.3679157345264728
F1Score,0.4787865464937348,0.33313216656608324,0.40282994147960516,0.40876139188069593
